name,full_identifier,player_img_url,team_name,team_abbreviation,team_logo_url,country_name,country_code,is_free_agent,acs,kd_ratio,adr,kpr,apr,fkpr,fdpr,hs_pct,rating,source,current_act,leaderboard_rank,ranked_rating,number_of_wins
madv,"madv
FLCV",,FLCV,FLCV,,,,false,249.0,1.42,230.5,1.63,84.0,153.8,0.85,0.35,0.08,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Mephisto,"Mephisto
6K",,6K,6K,,,,false,244.0,1.37,303.8,1.44,71.0,191.8,1.06,0.16,0.27,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
neto,"neto
ZEN",,ZEN,ZEN,,,,false,206.0,1.37,299.2,1.61,74.0,188.6,1.09,0.12,0.27,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
babytz,"babytz
BOBA",,BOBA,BOBA,,,,false,242.0,1.36,270.6,1.52,77.0,171.1,0.96,0.26,0.12,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
thyy,"thyy
TLN",,TLN,TLN,,,,false,243.0,1.33,231.8,1.42,75.0,156.2,0.86,0.4,0.03,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
aspas,"aspas
MIBR",,MIBR,MIBR,,,,false,334.0,1.28,251.1,1.42,78.0,163.0,0.9,0.13,0.21,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,47.0,567.0,30.0
ComeBack,"ComeBack
BCF",,BCF,BCF,,,,false,463.0,1.26,265.5,1.53,77.0,164.6,0.97,0.16,0.19,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Spaz,"Spaz
SRB",,SRB,SRB,,,,false,432.0,1.24,218.0,1.26,78.0,143.1,0.76,0.48,0.06,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
StarBound,"StarBound
WADA",,WADA,WADA,,,,false,506.0,1.24,231.4,1.32,72.0,154.4,0.84,0.19,0.16,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Lar0k,"Lar0k
BCF",,BCF,BCF,,,,false,463.0,1.23,215.5,1.28,78.0,143.6,0.77,0.43,0.09,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
trent,"trent
G2",,G2,G2,,,,false,581.0,1.23,218.9,1.29,75.0,148.3,0.78,0.28,0.09,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
CyvOph,"CyvOph
VIT",,VIT,VIT,,,,false,400.0,1.23,223.6,1.21,77.0,144.8,0.83,0.47,0.09,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
CHICHOO,"CHICHOO
EDG",,EDG,EDG,,,,false,602.0,1.23,222.3,1.23,71.0,158.1,0.81,0.28,0.08,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
jduh,"jduh
QAD.GC",,QAD.GC,QAD.GC,,,,false,233.0,1.23,234.2,1.24,73.0,149.6,0.83,0.39,0.11,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Best,"Best
FB",,FB,FB,,,,false,222.0,1.22,276.5,1.27,68.0,169.3,0.98,0.09,0.29,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
KEN,"KEN
CGZ",,CGZ,CGZ,,,,false,263.0,1.22,251.7,1.25,72.0,170.5,0.89,0.22,0.19,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
enerii,"enerii
FLCV",,FLCV,FLCV,,,,false,249.0,1.22,243.9,1.41,78.0,157.8,0.89,0.26,0.14,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Famsii,"Famsii
HGE",,HGE,HGE,,,,false,403.0,1.22,240.7,1.29,76.0,160.1,0.86,0.25,0.14,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Leen,Leen,,,,,,,true,201.0,1.22,261.9,1.26,73.0,167.5,0.91,0.17,0.15,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
bucute,bucute,,,,,,,true,354.0,1.21,212.5,1.28,77.0,143.9,0.78,0.32,0.07,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
xavi8k,"xavi8k
DLSU",,DLSU,DLSU,,,,false,227.0,1.21,234.5,1.25,75.0,154.8,0.78,0.36,0.06,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Shyy,"Shyy
KRÜ",,KRÜ,KRÜ,,,,false,246.0,1.2,213.1,1.22,77.0,141.9,0.76,0.23,0.08,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,18.0,653.0,33.0
Karon,"Karon
GEN",,GEN,GEN,,,,false,304.0,1.2,205.2,1.25,78.0,135.9,0.74,0.45,0.05,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
berryx,"berryx
HVND",,HVND,HVND,,,,false,611.0,1.2,251.2,1.26,68.0,163.1,0.9,0.18,0.2,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Glance,"Glance
KC.GC",,KC.GC,KC.GC,,,,false,528.0,1.2,213.5,1.31,74.0,137.4,0.78,0.27,0.05,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
sh0twell,"sh0twell
TXR",,TXR,TXR,,,,false,323.0,1.2,228.3,1.16,72.0,155.7,0.8,0.35,0.07,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
bones,"bones
Land",,Land,Land,,,,false,733.0,1.2,260.8,1.3,76.0,165.9,0.92,0.21,0.21,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Jemkin,"Jemkin
RRQ",,RRQ,RRQ,,,,false,269.0,1.2,257.4,1.29,75.0,164.2,0.91,0.22,0.22,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
eKo,"eKo
NFX",,NFX,NFX,,,,false,341.0,1.19,266.4,1.23,74.0,167.0,0.89,0.22,0.21,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Kon,"Kon
ASND",,ASND,ASND,,,,false,406.0,1.19,242.1,1.2,75.0,162.2,0.87,0.25,0.09,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Keiko,"Keiko
TL",,TL,TL,,,,false,546.0,1.19,224.0,1.23,77.0,147.9,0.83,0.3,0.1,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
canezerra,"canezerra
NV",,NV,NV,,,,false,580.0,1.19,282.4,1.27,74.0,177.3,0.96,0.26,0.24,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Joliinaa,"Joliinaa
SK.N",,SK.N,SK.N,,,,false,703.0,1.19,248.7,1.32,75.0,161.6,0.89,0.18,0.2,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Muddy,"Muddy
YDZ",,YDZ,YDZ,,,,false,232.0,1.19,244.0,1.21,72.0,160.1,0.89,0.15,0.16,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Muffyn,"Muffyn
ALG.GC",,ALG.GC,ALG.GC,,,,false,242.0,1.19,257.8,1.22,76.0,169.6,0.88,0.25,0.19,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Boni,Boni,,,,,,,true,822.0,1.18,259.0,1.23,74.0,165.7,0.92,0.23,0.18,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
GSR,"GSR
TL.AC",,TL.AC,TL.AC,,,,false,528.0,1.18,230.0,1.19,73.0,152.8,0.8,0.34,0.07,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
wetysao,"wetysao
505",,505,505,,,,false,221.0,1.18,254.9,1.16,77.0,170.1,0.91,0.27,0.17,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
srN,"srN
MIBR.GC",,MIBR.GC,MIBR.GC,,,,false,412.0,1.18,264.7,1.19,72.0,175.0,0.88,0.24,0.22,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Jackk,"Jackk
Over",,Over,Over,,,,false,375.0,1.17,219.0,1.19,71.0,148.8,0.79,0.25,0.07,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Jade,Jade,,,,,,,true,434.0,1.16,230.3,1.08,74.0,148.2,0.79,0.43,0.07,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Kaoticcc,"Kaoticcc
PLUG",,PLUG,PLUG,,,,false,244.0,1.16,250.0,1.15,75.0,160.4,0.86,0.24,0.22,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Killua,"Killua
TLN",,TLN,TLN,,,,false,375.0,1.16,221.6,1.24,74.0,143.7,0.79,0.36,0.08,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
zeldris,"zeldris
BLUE",,BLUE,BLUE,,,,false,667.0,1.16,251.7,1.24,70.0,165.2,0.9,0.18,0.19,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
thiefy,"thiefy
NFX",,NFX,NFX,,,,false,341.0,1.16,204.7,1.14,78.0,133.7,0.71,0.46,0.06,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Alexy,"Alexy
FLCV",,FLCV,FLCV,,,,false,249.0,1.16,213.8,1.23,82.0,144.7,0.78,0.39,0.07,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
PatMen,"PatMen
PRX",,PRX,PRX,,,,false,227.0,1.16,216.8,1.2,75.0,137.4,0.78,0.39,0.1,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
Vania,"Vania
G2.G",,G2.G,G2.G,,,,false,592.0,1.16,238.2,1.23,75.0,154.2,0.85,0.2,0.19,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
JinNy,"JinNy
ALG.GC",,ALG.GC,ALG.GC,,,,false,242.0,1.16,194.3,1.21,78.0,119.8,0.71,0.57,0.02,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
miyara,"miyara
SaD",,SaD,SaD,,,,false,265.0,1.16,220.5,1.21,76.0,150.1,0.76,0.27,0.08,vlr.gg,16118998-4705-5813-86dd-0292a2439d90,,,
